"Kod";"Nazwa";"Wykaz";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";43;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";45;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";48;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";46;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";50;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2014";2565;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2015";2771;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2016";2976;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2017";2769;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2018";3089;"-";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2014";4476;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2015";4727;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2016";5007;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2017";4664;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2018";5006;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";23;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";24;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";25;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";26;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";26;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2014";1111;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2015";1153;"-";"";
